,,,,,,Scoring,,,,,Goals,,,,Assists,,,Shots,,,Ice Time,,Faceoffs,,,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
808,Ryan Graves,30,PIT,D,21,1,0,1,-3,10,1,0,0,0,0,0,0,20,5.0,67,322:21,15:21,0,0,,37,18,6,17,,gravery01
809,Jet Greaves,24,CBJ,G,54,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,1,3217:42,59:35,0,0,,0,0,0,17,,greavje01
810,Maxim Groshev,24,TBL,RW,2,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,1,23:00,11:30,0,0,,1,0,0,1,,groshma01
811,Tyson Gross,,CGY,F,5,1,0,1,-1,2,1,0,0,0,0,0,0,4,25.0,8,54:10,10:50,23,20,53.5,5,4,1,1,,grossty01
812,James Hagens,19,BOS,C,1,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,3,13:08,13:08,0,0,,0,0,0,1,,hagenja01
813,Hunter Haight,21,MIN,C,8,0,1,1,-5,2,0,0,0,0,1,0,0,11,0.0,15,84:35,10:34,27,33,45.0,2,8,1,4,,haighhu01
814,Luke Haymes,22,TOR,F,3,0,1,1,-2,0,0,0,0,0,1,0,0,2,0.0,5,39:29,13:10,6,15,28.6,2,3,0,0,,haymelu01
815,Adin Hill,29,VEG,G,27,0,1,1,0,2,0,0,0,0,1,0,0,0,,1,1497:49,55:28,0,0,,0,0,0,7,,hillad01
816,Cameron Hughes,29,DAL,C,3,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,2,21:57,7:19,0,0,,2,3,0,1,,hugheca01
817,Quinn Hutson,24,EDM,F,4,1,0,1,-1,0,1,0,0,1,0,0,0,3,33.3,6,31:59,8:00,0,1,0.0,1,0,0,3,,hutsoqu01
818,Ivan Ivan,23,COL,F,9,0,1,1,1,2,0,0,0,0,1,0,0,4,0.0,7,67:04,7:27,10,14,41.7,1,3,0,3,,ivaniv01
819,Tristan Jarry,30,2TM,G,33,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,1,1773:37,53:45,0,0,,0,0,0,14,,jarrytr01
819,Tristan Jarry,30,PIT,G,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,810:45,57:55,0,0,,0,0,0,4,,jarrytr01
819,Tristan Jarry,30,EDM,G,19,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,1,962:52,50:41,0,0,,0,0,0,10,,jarrytr01
820,Caleb Jones,28,PIT,D,7,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,17,120:12,17:10,0,0,,15,10,1,4,,jonesca01
821,Arthur Kaliyev,24,OTT,RW,2,0,1,1,0,0,0,0,0,0,0,1,0,4,0.0,8,21:13,10:37,0,0,,0,0,0,2,,kaliyar01
822,Matt Kiersted,27,MIN,D,5,0,1,1,-2,0,0,0,0,0,0,0,1,4,0.0,5,74:03,14:49,0,0,,5,0,0,6,,kiersma01
823,Spencer Knight,24,CHI,G,54,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,1,3233:15,59:53,0,0,,0,0,0,37,,knighsp01
824,Joona Koppanen,27,PIT,LW,12,0,1,1,-1,2,0,0,0,0,1,0,0,7,0.0,18,146:57,12:15,18,23,43.9,4,11,4,4,,koppajo01
825,Kirill Kudryavtsev,21,VAN,D,1,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,3,14:17,14:17,0,0,,1,0,0,0,,kudryki01
826,Darcy Kuemper,35,LAK,G,49,0,1,1,0,6,0,0,0,0,0,1,0,0,,0,2825:20,57:40,0,0,,0,0,0,17,,kuempda01
827,Patrik Laine,27,MTL,RW,5,0,1,1,-3,2,0,0,0,0,1,0,0,6,0.0,20,63:02,12:36,2,1,66.7,0,2,0,2,,lainepa01
828,Maveric Lamoureux,22,UTA,D,5,0,1,1,4,2,0,0,0,0,1,0,0,4,0.0,10,73:16,14:39,0,0,,9,11,2,4,,lamouma01
829,Kevin Lankinen,30,VAN,G,45,0,1,1,0,4,0,0,0,0,0,1,0,0,,0,2469:23,54:53,0,0,,0,0,0,8,,lankike01
830,Charlie Lindgren,32,WSH,G,21,0,1,1,0,8,0,0,0,0,1,0,0,1,0.0,1,1246:02,59:20,0,0,,0,0,0,19,,lindgch01
831,Matt Luff,28,STL,RW,5,1,0,1,-2,0,1,0,0,0,0,0,0,5,20.0,7,45:40,9:08,0,0,,4,8,2,0,,luffma01
832,Ukko-Pekka Luukkonen,26,BUF,G,35,0,1,1,0,4,0,0,0,0,1,0,0,0,,0,2027:46,57:56,0,0,,0,0,0,20,,luukkuk01
833,Alex Lyon,33,BUF,G,36,0,1,1,0,4,0,0,0,0,0,1,0,0,,0,1992:01,55:20,0,0,,0,0,0,16,,lyonal01
834,Kurtis MacDermid,31,OTT,LW,18,0,1,1,-5,33,0,0,0,0,1,0,0,2,0.0,3,72:05,4:00,0,0,,5,13,0,2,,macdeku01
835,Brady Martin,18,NSH,C,3,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,3,34:15,11:25,5,11,31.3,2,0,0,4,,martibr02
836,Dysin Mayo,29,CBJ,D,3,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,7,25:12,8:24,0,0,,1,0,0,0,,mayody01
837,Dakota Mermis,32,TOR,D,11,1,0,1,-3,11,1,0,0,0,0,0,0,5,20.0,15,143:18,13:02,0,0,,9,8,2,8,,mermida01
838,Keaton Middleton,27,COL,D,3,0,1,1,-1,4,0,0,0,0,1,0,0,0,,4,32:16,10:45,0,0,,1,6,0,1,,middlke01
839,Travis Mitchell,26,NYI,D,9,1,0,1,0,6,1,0,0,0,0,0,0,4,25.0,13,103:50,11:32,0,0,,6,13,0,6,,mitchtr01
840,Alex Nedeljkovic,30,SJS,G,39,0,1,1,0,9,0,0,0,0,1,0,0,0,,0,2217:58,56:52,0,0,,0,0,0,28,,nedelal01
841,Tristen Nielsen,25,COL,F,4,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,6,25:13,6:18,0,0,,1,9,0,2,,nielstr01
842,Jake Oettinger,27,DAL,G,53,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,3129:11,59:02,0,0,,0,0,0,14,,oettija01
843,Matthew Poitras,21,BOS,C,3,1,0,1,1,4,1,0,0,0,0,0,0,8,12.5,8,36:21,12:07,7,11,38.9,2,0,0,1,,poitrma01
844,Mikael Pyyhtia,24,CBJ,LW,5,1,0,1,-1,0,1,0,0,0,0,0,0,6,16.7,15,51:18,10:16,0,0,,2,1,1,1,,pyyhtmi01
845,Jonathan Quick,40,NYR,G,25,0,1,1,0,14,0,0,0,0,1,0,0,0,,0,1418:00,56:43,0,0,,0,0,0,14,,quickjo01
846,David Reinbacher,21,MTL,D,1,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,3,11:17,11:17,0,0,,2,1,0,1,,reinbda01
847,Matt Rempe,23,NYR,C,26,1,0,1,-4,11,1,0,0,0,0,0,0,15,6.7,32,223:48,8:36,3,5,37.5,6,86,2,5,,rempema01
848,Justin Robidas,22,CAR,C,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,3,21:22,10:41,12,12,50.0,1,3,0,1,,robidju01
849,Alexander Romanov,26,NYI,D,15,0,1,1,-7,6,0,0,0,0,1,0,0,17,0.0,38,291:41,19:27,0,0,,31,31,4,18,,romanal01
850,Kevin Rooney,32,UTA,C,1,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,3,9:44,9:44,2,6,25.0,0,0,0,1,,rooneke01
851,Jonas Røndbjerg,26,VEG,RW,4,0,1,1,-2,0,0,0,0,0,1,0,0,6,0.0,12,48:19,12:05,0,0,,0,0,1,0,,rondbjo01
852,Steven Santini,30,TBL,D,11,0,1,1,1,2,0,0,0,0,1,0,0,3,0.0,19,115:12,10:28,0,0,,6,8,0,4,,santist01
853,Akira Schmid,25,VEG,G,34,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1965:47,57:49,0,0,,0,0,0,12,,schmiak01
854,Dmitriy Simashev,20,UTA,D,27,0,1,1,-11,23,0,0,0,0,1,0,0,25,0.0,48,410:42,15:13,0,0,,27,12,1,29,,simasdm01
855,Stuart Skinner,27,2TM,G,49,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,2881:57,58:49,0,0,,0,0,0,25,,skinnst01
855,Stuart Skinner,27,EDM,G,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1316:39,57:15,0,0,,0,0,0,10,,skinnst01
855,Stuart Skinner,27,PIT,G,26,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1565:18,60:12,0,0,,0,0,0,15,,skinnst01
856,Victor Söderström,24,BOS,D,8,0,1,1,3,0,0,0,0,0,1,0,0,8,0.0,15,109:25,13:41,0,0,,10,1,2,11,,sodervi01
857,Ilya Sorokin,30,NYI,G,55,0,1,1,0,4,0,0,0,0,1,0,0,0,,0,3226:10,58:39,0,0,,0,0,0,11,,sorokil01
858,Aydar Suniev,21,CGY,LW,4,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,9,47:04,11:46,0,0,,1,1,2,2,,sunieay01
859,Cam Talbot,38,DET,G,33,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1722:05,52:11,0,0,,0,0,0,17,,talboca01
860,Logan Thompson,28,WSH,G,58,0,1,1,0,0,0,0,0,0,1,0,0,0,,1,3445:03,59:24,0,0,,0,0,0,23,,thomplo01
861,Philip Tomasino,24,PIT,C,9,0,1,1,-2,0,0,0,0,0,1,0,0,9,0.0,21,109:33,12:10,2,2,50.0,7,11,0,3,,tomasph01
862,Dominic Toninato,31,CHI,C,8,0,1,1,0,6,0,0,0,0,1,0,0,8,0.0,16,73:14,9:09,21,17,55.3,1,12,2,2,,tonindo01
863,Riley Tufte,27,BOS,LW,4,1,0,1,-1,0,0,1,0,0,0,0,0,4,25.0,8,46:41,11:40,0,0,,1,7,0,1,,tufteri01
864,Linus Ullmark,32,OTT,G,49,0,1,1,0,2,0,0,0,0,1,0,0,0,,1,2883:28,58:51,0,0,,0,0,0,16,,ullmali01
865,Vítek Vaněček,30,UTA,G,21,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1187:44,56:34,0,0,,0,0,0,9,,vanecvi01
866,Jesper Wallstedt,23,MIN,G,34,0,1,1,0,2,0,0,0,0,0,1,0,0,,0,1936:39,56:58,0,0,,0,0,0,16,,wallsje01
867,Scott Wedgewood,33,COL,G,44,0,1,1,0,2,0,0,0,0,0,1,0,0,,0,2489:04,56:34,0,0,,0,0,0,17,,wedgesc01
868,Joseph Woll,27,TOR,G,39,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,2230:04,57:11,0,0,,0,0,0,19,,wolljo01
869,Florian Xhekaj,21,MTL,LW,5,0,1,1,-1,7,0,0,0,0,1,0,0,4,0.0,8,47:59,9:36,0,0,,4,9,0,4,,xhekafl01
870,Danil Zhilkin,22,WPG,C,6,0,1,1,3,0,0,0,0,0,1,0,0,4,0.0,7,45:30,7:35,9,16,36.0,4,5,0,1,,zhilkda01
871,Andrew Agozzino,35,UTA,LW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,12:16,6:08,3,4,42.9,1,4,1,1,,agozzan01
872,Artur Akhtyamov,24,TOR,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,126:00,42:00,0,0,,0,0,0,1,,akhtyar01
873,Nils Åman,25,VAN,C,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3,17:19,8:40,1,1,50.0,1,2,0,1,,amanni01
874,Justus Annunen,25,NSH,G,28,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,1500:32,53:35,0,0,,0,0,0,7,,annunju01
875,Yaroslav Askarov,23,SJS,G,46,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2536:50,55:09,0,0,,0,0,0,22,,askarya01
876,Matt Benning,31,TOR,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,12:26,12:26,0,0,,3,0,0,1,,bennima01
877,Brett Berard,23,NYR,LW,13,0,0,0,-1,6,0,0,0,0,0,0,0,10,0.0,35,137:03,10:33,0,0,,9,17,1,9,,berarbr02
878,Mackenzie Blackwood,29,COL,G,38,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2096:06,55:10,0,0,,0,0,0,4,,blackma01
879,Matěj Blümel,25,BOS,RW,4,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,10,43:28,10:52,0,1,0.0,2,2,0,3,,blumema01
880,Xavier Bourgault,23,OTT,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,7,11:55,5:58,0,0,,0,3,0,1,,bourgxa01
881,Skyler Brind'Amour,26,CAR,C,3,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,7,44:23,14:48,15,14,51.7,0,3,0,2,,brindsk01
882,Laurent Brossoit,32,SJS,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,59:09,59:09,0,0,,0,0,0,0,,brossla01
883,Tristan Broz,23,PIT,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,2,11:30,11:30,3,3,50.0,0,0,0,1,,broztr01
884,Vyacheslav Buteyets,23,ANA,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,20:00,20:00,0,0,,0,0,0,0,,buteyvy01
885,Luca Cagnoni,21,SJS,D,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,2,14:53,14:53,0,0,,2,2,0,1,,cagnolu01
886,Michael Callahan,26,BOS,D,5,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,4,64:57,12:59,0,0,,9,3,2,3,,callami02
887,Seamus Casey,22,NJD,D,2,0,0,0,-3,0,0,0,0,0,0,0,0,4,0.0,8,36:01,18:01,0,0,,1,0,2,3,,caseyse01
888,Mitchell Chaffee,28,TBL,F,10,0,0,0,-2,4,0,0,0,0,0,0,0,9,0.0,12,91:51,9:11,2,4,33.3,4,24,0,6,,chaffmi01
889,Nikita Chibrikov,22,WPG,RW,9,0,0,0,-1,14,0,0,0,0,0,0,0,6,0.0,19,81:01,9:00,0,0,,5,12,2,6,,chibrni01
890,Dylan Coghlan,27,VEG,D,3,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,7,45:10,15:03,0,0,,4,4,0,2,,coghldy01
891,Drew Commesso,23,CHI,G,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,181:43,60:34,0,0,,0,0,0,0,,commedr01
892,Eric Comrie,30,WPG,G,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1262:04,54:52,0,0,,0,0,0,9,,comrier01
893,Kenny Connors,22,LAK,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,7,17:19,8:40,2,5,28.6,1,3,0,1,,connoke01
894,Braeden Cootes,18,VAN,C,3,0,0,0,-2,0,0,0,0,0,0,0,0,0,,0,32:20,10:47,5,8,38.5,1,3,0,4,,cootebr01
895,Pheonix Copley,34,LAK,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,58:34,58:34,0,0,,0,0,0,0,,copleph01
896,Justin Danforth,32,BUF,RW,4,0,0,0,-2,2,0,0,0,0,0,0,0,2,0.0,6,46:49,11:42,17,14,54.8,4,3,0,3,,danfoju01
897,Nico Daws,25,NJD,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,123:16,61:38,0,0,,0,0,0,4,,dawsni01
898,Ethan Del Mastro,23,CHI,D,18,0,0,0,-11,18,0,0,0,0,0,0,0,17,0.0,38,254:28,14:08,0,0,,21,18,4,16,,delmaet01
899,Casey DeSmith,34,DAL,G,30,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,1755:00,58:30,0,0,,0,0,0,7,,desmica01
900,Jack Devine,22,FLA,RW,6,0,0,0,-3,2,0,0,0,0,0,0,0,6,0.0,14,50:38,8:26,0,0,,0,4,0,2,,devinja01
901,Michael DiPietro,26,BOS,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,6:03,6:03,0,0,,0,0,0,1,,dipiemi01
902,Jakub Dobes,24,MTL,G,42,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2469:23,58:48,0,0,,0,0,0,15,,dobesja01
903,Jorian Donovan,21,OTT,D,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,2,14:04,7:02,0,0,,1,2,0,1,,donovjo01
904,Justin Dowling,35,NYR,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,3,14:23,7:12,1,2,33.3,1,3,0,0,,dowliju01
905,Sheldon Dries,31,DET,C,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,4,34:52,6:58,9,12,42.9,3,8,3,1,,driessh01
906,Walker Duehr,28,WPG,F,3,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,5,28:30,9:30,0,1,0.0,2,10,2,1,,duehrwa01
907,Dylan Duke,22,TBL,LW,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,2,9:22,9:22,0,0,,0,0,1,1,,dukedy01
908,Andreas Englund,30,NSH,D,3,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,3,26:27,8:49,0,0,,1,4,0,2,,engluan01
909,Domenick Fensore,24,CAR,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,5,19:22,19:22,0,0,,3,1,0,0,,fensodo01
910,Derek Forbort,33,VAN,D,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,1,27:52,13:56,0,0,,4,2,0,5,,forbode01
911,Anton Forsberg,33,LAK,G,35,0,0,0,0,4,0,0,0,0,0,0,0,0,,1,1973:31,56:23,0,0,,0,0,0,13,,forsban01
912,Jacob Fowler,21,MTL,G,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1010:42,59:27,0,0,,0,0,0,5,,fowleja01
913,Dylan Garand,23,NYR,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,125:00,62:30,0,0,,0,0,0,1,,garandy01
914,Jacob Gaucher,24,PHI,F,3,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,4,26:18,8:46,9,10,47.4,1,2,0,2,,gauchja01
915,Nathan Gaucher,22,ANA,C,3,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,2,24:04,8:01,3,9,25.0,1,6,1,1,,gauchna01
916,Mason Geertsen,30,BUF,D,5,0,0,0,-1,12,0,0,0,0,0,0,0,1,0.0,2,20:36,4:07,0,0,,0,8,0,0,,geertma01
917,Adam Ginning,26,PHI,D,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,9,76:42,15:20,0,0,,5,4,0,5,,ginniad01
918,Erik Gustafsson,33,DET,D,2,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,8,37:29,18:45,0,0,,1,2,1,3,,gustaer02
919,Viking Gustafsson Nyberg,22,MIN,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,0,21:57,21:57,0,0,,0,1,0,0,,gustavi02
920,Brandon Halverson,29,TBL,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0:06,0:06,0,0,,0,0,0,0,,halvebr01
921,Carter Hart,27,VEG,G,17,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,960:05,56:29,0,0,,0,0,0,8,,hartca01
922,John Hayden,30,SEA,C,3,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,5,30:14,10:05,6,9,40.0,2,7,1,2,,haydejo01
923,Ville Heinola,24,WPG,D,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,8,39:42,13:14,0,0,,3,5,0,1,,heinovi01
924,Connor Hellebuyck,32,WPG,G,57,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,3401:27,59:40,0,0,,0,0,0,16,,helleco01
925,Dennis Hildeby,24,TOR,G,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,950:36,50:02,0,0,,0,0,0,6,,hildede01
926,Tyson Hinds,22,ANA,D,4,0,0,0,-1,2,0,0,0,0,0,0,0,6,0.0,12,64:55,16:14,0,0,,5,3,1,2,,hindsty01
927,Hayden Hodgson,29,OTT,RW,9,0,0,0,-1,11,0,0,0,0,0,0,0,3,0.0,10,57:15,6:22,0,0,,0,23,0,3,,hodgsha01
928,Joel Hofer,25,STL,G,45,0,0,0,0,4,0,0,0,0,0,0,0,0,,5,2564:39,57:00,0,0,,0,0,0,42,,hoferjo01
929,Marcus Högberg,31,NYI,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,13:29,13:29,0,0,,0,0,0,0,,hogbema01
930,Mikulas Hovorka,24,FLA,D,3,0,0,0,-3,0,0,0,0,0,0,0,0,0,,3,40:30,13:30,0,0,,1,3,0,6,,hovormi01
931,Dryden Hunt,30,CGY,LW,3,0,0,0,-3,2,0,0,0,0,0,0,0,4,0.0,5,26:48,8:56,0,0,,4,9,0,3,,huntdr01
932,Ville Husso,30,ANA,G,19,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,1085:42,57:09,0,0,,0,0,0,12,,hussovi01
933,Bokondji Imama,29,PIT,LW,2,0,0,0,0,5,0,0,0,0,0,0,0,2,0.0,4,15:17,7:39,0,0,,0,3,0,2,,imamabo01
934,Ludvig Jansson,22,FLA,D,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,6,50:57,16:59,0,0,,3,0,1,1,,jansslu01
935,Roby Jarventie,23,EDM,LW,3,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,3,24:01,8:00,2,2,50.0,4,1,0,0,,jarvero01
936,David Jiříček,22,MIN,D,25,0,0,0,0,14,0,0,0,0,0,0,0,15,0.0,40,292:47,11:43,0,0,,19,8,3,24,,jiricda01
937,Jonas Johansson,30,TBL,G,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1423:31,56:56,0,0,,0,0,0,2,,johanjo03
938,Ryan Johnson,24,BUF,D,3,0,0,0,0,2,0,0,0,0,0,0,0,0,,4,27:00,9:00,0,0,,3,2,2,2,,johnsry03
939,Aleksanteri Kaskimaki,21,STL,C,5,0,0,0,-6,0,0,0,0,0,0,0,0,6,0.0,8,51:58,10:24,1,1,50.0,3,2,0,2,,kaskial01
940,Boris Katchouk,27,TBL,LW,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,36:34,12:11,7,12,36.8,2,5,0,0,,katchbo01
941,Rory Kerins,23,CGY,C,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,4,31:42,15:51,0,3,0.0,3,1,0,1,,kerinro01
942,Pyotr Kochetkov,26,CAR,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,490:09,54:28,0,0,,0,0,0,7,,kochepy01
943,Niklas Kokko,21,SEA,G,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,117:41,58:51,0,0,,0,0,0,1,,kokkoni01
944,Aleksei Kolosov,24,PHI,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,120:01,30:00,0,0,,0,0,0,1,,kolosal01
945,Joonas Korpisalo,31,BOS,G,31,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,1713:05,55:16,0,0,,0,0,0,12,,korpijo01
946,Dmitry Kulikov,35,FLA,D,19,0,0,0,-5,10,0,0,0,0,0,0,0,15,0.0,38,342:37,18:02,0,0,,16,22,4,18,,kulikdm01
947,Trevor Kuntar,24,BUF,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,5:12,5:12,0,0,,0,1,0,0,,kuntatr01
948,Joseph LaBate,32,VAN,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,3,9:32,9:32,1,1,50.0,2,6,0,0,,labatjo01
949,Shane Lachance,22,NJD,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,7:25,7:25,1,0,100.0,0,1,0,0,,lachash01
950,Carson Lambos,23,MIN,D,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,2,10:16,10:16,0,0,,1,0,0,2,,lamboca01
951,Raphael Lavoie,25,VEG,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,8:34,8:34,0,1,0.0,0,1,0,1,,lavoira01
952,Brett Leason,26,WSH,RW,6,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,4,51:29,8:35,2,3,40.0,0,10,0,1,,leasobr01
953,Nathan Legare,25,NJD,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,8:15,8:15,0,1,0.0,1,2,0,0,,legarna01
954,Carl Lindbom,22,VEG,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,480:40,60:05,0,0,,0,0,0,2,,lindbca01
955,Jett Luchanko,19,PHI,F,4,0,0,0,-3,2,0,0,0,0,0,0,0,1,0.0,2,35:52,8:58,11,10,52.4,3,2,0,1,,luchaje01
956,Simon Lundmark,25,TBL,D,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,16:45,16:45,0,0,,2,2,0,0,,lundmsi01
957,Zack MacEwen,29,NJD,C,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,7,19:00,6:20,0,2,0.0,1,6,1,2,,macewza01
958,Connor Mackey,29,NYR,D,3,0,0,0,-3,4,0,0,0,0,0,0,0,2,0.0,7,38:21,12:47,0,0,,2,2,0,3,,mackeco01
959,Taylor Makar,24,COL,LW,12,0,0,0,0,4,0,0,0,0,0,0,0,7,0.0,15,74:31,6:13,0,2,0.0,1,17,1,1,,makarta01
960,Spencer Martin,30,NYR,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,290:39,48:27,0,0,,0,0,0,0,,martisp01
961,Carter Mazur,23,DET,LW,7,0,0,0,-2,0,0,0,0,0,0,0,0,3,0.0,6,72:24,10:21,0,1,0.0,5,8,0,1,,mazurca01
962,Dylan McIlrath,33,WSH,D,12,0,0,0,-1,10,0,0,0,0,0,0,0,4,0.0,13,108:00,9:00,0,0,,7,23,0,7,,mcilrdy01
963,Marc McLaughlin,26,NJD,F,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,47:04,7:51,11,16,40.7,2,4,1,1,,mclauma01
964,Cole McWard,24,NYI,D,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,41:12,13:44,0,0,,5,4,2,3,,mcwarco01
965,Jaycob Megna,33,VEG,D,4,0,0,0,-5,2,0,0,0,0,0,0,0,1,0.0,1,42:29,10:37,0,0,,1,6,0,2,,megnaja02
966,Leevi Merilainen,23,OTT,G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1094:29,54:43,0,0,,0,0,0,5,,merille01
967,Georgii Merkulov,25,BOS,F,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,10:35,10:35,0,0,,0,0,0,0,,merkuge01
968,Thomas Milic,22,WPG,G,3,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,138:38,46:13,0,0,,0,0,0,0,,milicth01
969,Trent Miner,24,COL,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,236:34,59:09,0,0,,0,0,0,1,,minertr01
970,Daniil Miromanov,28,CGY,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,17:49,17:49,0,0,,2,0,0,1,,miromda01
971,Sam Montembeault,29,MTL,G,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1418:12,56:44,0,0,,0,0,0,4,,montesa01
972,Sam Morton,26,CGY,F,3,0,0,0,-1,10,0,0,0,0,0,0,0,3,0.0,7,28:00,9:20,16,8,66.7,1,9,1,2,,mortosa01
973,Jacob Moverare,27,LAK,D,15,0,0,0,-4,0,0,0,0,0,0,0,0,7,0.0,23,131:42,8:47,0,0,,12,3,2,6,,moverja01
